id,prefectures,city,ward,town,polygon
10,京都府,京都市,下京区,万寿寺中之町,"POLYGON((135.76261109982957 34.997486500453675,135.76261020109555 34.99786188041102,135.7621708420485 34.99784299689111,135.76217074371726 34.99787698570057,135.76203784495536 34.99787742763259,135.7620396935697 34.99784696796663,135.76202078057105 34.99784678962875,135.76190097115142 34.99784366893583,135.76155758259787 34.997844268274264,135.76140723589114 34.99785045406622,135.76124166272615 34.997846943227486,135.76123961897844 34.997827942058116,135.7612399416954 34.997657644194206,135.76123034427172 34.99745549430433,135.76131771101532 34.99745353284754,135.76134574064073 34.9974529015229,135.76141445353358 34.99745133630328,135.76141460030624 34.99740077180407,135.76145951489104 34.99740038164553,135.7614595962474 34.997372348053084,135.76146264878528 34.9973717842643,135.76149032647137 34.99738596646773,135.76155157750657 34.99738608593327,135.76155083937445 34.99741697597826,135.76155032926107 34.99743837013323,135.76171320938082 34.997437555388466,135.7618504560605 34.99743686629362,135.7618514585385 34.99739107237534,135.76203686980116 34.99738703136657,135.76203678629557 34.99741587899331,135.7621002190368 34.997419581355395,135.76216017087262 34.997419697984704,135.7621617038746 34.99740440352611,135.76224497369176 34.997399709124096,135.76236330454822 34.997393010277996,135.76236309589783 34.99746519423762,135.76236308547468 34.99746880019021,135.76236968950388 34.9974686309229,135.76261188136337 34.99746243931792,135.762611139964 34.997469944611375,135.76261109982957 34.997486500453675))"
11,京都府,京都市,下京区,万寿寺町,"POLYGON((135.76257088660643 34.99656750335583,135.76240722893985 34.996570004342665,135.76240932715052 34.99665743343945,135.7624122827287 34.99674499672053,135.7622195425412 34.9967439747059,135.76214389728364 34.99674357332493,135.76214378058378 34.996658204372125,135.7614547764812 34.996664096266684,135.7614484245123 34.99669218523773,135.76145112557043 34.99671344863537,135.7612522305921 34.99671299363162,135.76125140862663 34.996623737812016,135.76128430308944 34.99662380205491,135.7612843999613 34.996590446967296,135.7612296270016 34.99659033998961,135.76122459017566 34.996556735976704,135.7611132546906 34.99655903090686,135.76105296435495 34.996560273420116,135.76105577576936 34.996388290966216,135.76105936163503 34.9961699678133,135.7618354651696 34.9961419722253,135.76254711817575 34.99611617145778,135.76255839590397 34.9964928489766,135.7625600363297 34.99654729333985,135.76257088660643 34.99656750335583))"
12,京都府,京都市,下京区,万屋町,"POLYGON((135.76459142988244 34.99073597253898,135.76459275553157 34.990815470342255,135.76445807769673 34.99081444120777,135.76445535997934 34.99086417210054,135.76445559276578 34.99149218790837,135.7645529150099 34.99149991141388,135.76456965623663 34.99154149703924,135.76444767712485 34.991537035299274,135.76444307747556 34.99163379602329,135.76444696157594 34.99198101803121,135.76446124171946 34.99199231423865,135.7645334232208 34.99199343982883,135.76453481795932 34.99195470637727,135.764701634508 34.991953479527524,135.7647010679517 34.99215145381623,135.76453168728506 34.992151690423036,135.76453180588842 34.99211027798375,135.7644613015827 34.99208344963804,135.76443881658906 34.99208333590387,135.76444172808613 34.992298995188776,135.7641434234118 34.99229158735655,135.76411640372658 34.9922909716854,135.76413264109462 34.99222409533173,135.76412520059304 34.99193144799844,135.7641297250599 34.99162966914759,135.7641236462498 34.99134730772141,135.76412588223207 34.990791697897784,135.76411978073799 34.990367985280876,135.7644572901883 34.99036934215076,135.76470188562257 34.99037058903695,135.76470194285807 34.990418341101204,135.76470234185035 34.990734426981554,135.76459142988244 34.99073597253898))"
13,京都府,京都市,下京区,万里小路町,"POLYGON((135.76434475388828 35.00106207990263,135.76399216826215 35.00105626043036,135.7639917143782 35.00118043192769,135.76387217357754 35.00117886001917,135.7638543324547 35.0011786245766,135.76385775303004 35.00102782511672,135.76385828735906 35.001004273772025,135.76385506398142 35.000810600964165,135.76385587493115 35.000274910803746,135.76385627802296 35.00011661500497,135.76385535078478 35.00006717269234,135.76423321768428 35.000067196218545,135.76423365841808 35.000338771449556,135.76435487416933 35.00033801954121,135.76434475388828 35.00106207990263))"
14,京都府,京都市,下京区,三軒替地町,"POLYGON((135.7514940356192 34.98732291629675,135.75118263598029 34.987319605615916,135.75119443399234 34.98705411065873,135.7513632534724 34.98705381988093,135.7513623356517 34.986861757548496,135.7513916606526 34.986849421666996,135.75138865314676 34.98677560542391,135.7515000246714 34.98677681747366,135.7514968257643 34.987029019343495,135.7514940356192 34.98732291629675))"
15,京都府,京都市,下京区,三軒町,"POLYGON((135.76198792472607 35.00056824433208,135.76183374597443 35.000570710209736,135.7618401324606 35.000492207999464,135.76164155793265 35.00050221747085,135.76150855850162 35.000507873990216,135.7615087991685 35.00042493707873,135.76143320986668 35.00042478976419,135.76142937140875 35.000185812625844,135.76145850375525 35.00018605602142,135.76163178502907 35.00019012673021,135.76187049054272 35.00018890112431,135.76205488862158 35.000137141760675,135.76198592584797 35.00048485775349,135.76198792472607 35.00056824433208))"
16,京都府,京都市,下京区,上三之宮町,"POLYGON((135.76624200252104 34.99143287270409,135.7658225247092 34.99143953400707,135.76583143539824 34.99032353525118,135.76624783841183 34.9903201787995,135.76624200252104 34.99143287270409))"
17,京都府,京都市,下京区,上中之町,"POLYGON((135.74972245741085 34.98740019932077,135.74971349748935 34.98788292764158,135.74970973161695 34.98788291992275,135.74923137423767 34.987872077007616,135.74889901625482 34.987865125894174,135.74878764001258 34.987865038346676,135.74877979165115 34.987463714046015,135.7488978090601 34.98746113962168,135.74889060947294 34.98740133025418,135.74891848516077 34.987127276277825,135.74896174836744 34.98706264037861,135.7490300441436 34.98701122590641,135.74902604946288 34.986706680822,135.74935163660894 34.98670805372537,135.74973526500233 34.986709686273734,135.74972938265572 34.9870266066404,135.7497232417417 34.987357964851206,135.74972245741085 34.98740019932077))"
19,京都府,京都市,下京区,上二之宮町,"POLYGON((135.76715431828367 34.99046713935465,135.76718354168355 34.99149573619249,135.76720960993956 34.99173418713015,135.7668117107267 34.9916300371542,135.76644440256638 34.99163313768145,135.76644262668523 34.991429524955976,135.76624200252104 34.99143287270409,135.76624783841183 34.9903201787995,135.7664507213104 34.990311552890155,135.76649160587434 34.990364171804636,135.76716637796815 34.99036356067694,135.76715431828367 34.99046713935465))"
20,京都府,京都市,下京区,上五条町,"POLYGON((135.74892431910774 34.99876089148555,135.74876133565513 34.99876210618639,135.74875882897405 34.998616030918654,135.74875499932372 34.99839191682419,135.74875437535965 34.99835549965444,135.74875235593774 34.99823751325615,135.7487504947217 34.99812871431583,135.7487394410186 34.997551451726025,135.74873404603795 34.99702610880428,135.74918620753482 34.99702760111948,135.74918356610473 34.99875888884392,135.74892431910774 34.99876089148555))"
21,京都府,京都市,下京区,上夷町,"POLYGON((135.75124737078724 34.98605806564002,135.7512649006186 34.98642433328911,135.7510916026221 34.9864346853742,135.75110221983178 34.986617047925876,135.7508524263723 34.986659500243626,135.7508605638234 34.98672797478534,135.7504899034038 34.986718343555836,135.7504873573751 34.98662656857752,135.7503867427136 34.98662636292382,135.75040145956402 34.986074720845394,135.75124737078724 34.98605806564002))"
